RecordNumber,CustomerId,LastName,RiskScore,Location,Gender,Age,LoyaltyYears,AccountBalance,ProductCount ,HasCreditCard,ActiveStatus,IncomeEstimate,HasComplaint,ComplaintSatisfaction,CardType,CreditCardPoints,Retention
1,5636459,WASILEWSKI,588,UK,1,43,12,0,1,1,1,152023,1,3,Titanium Card,835,0
2,5647764,EGUCHI,582,USA,0,50,5,55871.9,1,0,1,168813,1,3,Titanium Card,820,1
3,5621122,FOSNOT,525,UK,1,40,15,106440.5,3,1,0,170897,1,3,Titanium Card,678,0
4,5703292,DINOFF,715,UK,0,37,10,0,2,0,0,140739,0,5,Gold Card,630,1
5,5738320,BRAUN,803,USA,1,45,1,83673.9,1,1,1,118626,0,6,Gold Card,764,1
6,5574400,FRANSICO,633,USA,0,38,9,75837.2,2,1,0,224635,1,6,Titanium Card,871,0
7,5593835,SKORA,860,UK,0,42,1,0,2,1,1,15094,0,2,Debit Card,370,1
8,5657260,DELTON,365,Israel,0,26,6,76697.8,4,1,0,179020,1,1,Titanium Card,507,0
9,5792574,TECHLIN,596,UK,0,36,7,94700.7,2,0,1,112410,0,3,Gold Card,451,1
10,5592420,WOODINGS,742,UK,0,18,15,89735.9,1,1,1,107588,0,4,Gold Card,615,1
11,5768760,WEIGOLD,597,UK,1,38,6,68011.1,2,0,0,120271,0,4,Gold Card,475,1
12,5738533,CHOU,508,USA,1,20,9,0,2,1,0,114585,0,4,Gold Card,447,1
13,5633050,METTERNICH,454,UK,1,41,6,0,2,1,0,39391,0,4,Debit Card,213,1
14,5691574,BATCHELLER,508,UK,1,21,7,0,2,0,0,286286,0,4,Elite Card,987,1
15,5602649,NITKIEWICZ,622,USA,1,38,5,0,2,1,1,98927,0,1,Gold Card,572,1
16,5644880,WOESTMAN,590,Israel,0,51,7,95419.6,2,0,1,96490,0,4,Gold Card,554,1
17,5738277,STERNICK,609,Israel,1,50,11,88401.9,1,1,0,7646,0,3,Debit Card,292,0
18,5789249,BRAITHWAIT,548,USA,0,18,5,0,2,1,1,21609,0,3,Debit Card,979,1
19,5663039,CRUDO,596,USA,1,44,15,0,1,0,0,238027,0,2,Elite Card,1317,1
20,5569846,BERKO,766,UK,1,27,12,0,2,1,1,82086,0,3,Gold Card,858,1
21,5579544,SAVALIA,829,UK,1,37,15,0,2,1,1,256329,0,3,Elite Card,1022,1
22,5599161,GLADD,590,USA,1,26,6,0,2,1,0,207833,0,2,Titanium Card,604,1
23,5700483,ANDREE,601,USA,0,47,12,0,1,1,0,178370,1,2,Titanium Card,1596,0
24,5726478,CHAISSON,726,UK,1,51,6,0,2,0,1,12731,0,2,Debit Card,1196,1
25,5626703,HOSTRANDER,849,UK,1,41,6,0,1,1,1,281424,0,4,Elite Card,404,1
26,5739129,BREMSER,533,UK,1,19,3,0,2,0,1,186762,0,3,Elite Card,1185,1
27,5738651,KARIMIAN,807,Israel,1,36,12,91210.4,1,1,1,255062,0,5,Titanium Card,424,1
28,5702314,MELNIKOFF,658,UK,0,38,5,0,2,0,0,57650,0,5,Elite Card,806,1
29,5729786,ROSETH,542,Israel,0,42,3,94233,1,1,1,150281,0,5,Titanium Card,897,1
30,5657298,PICKLES,420,UK,0,38,4,39798.1,2,1,1,80224,0,1,Gold Card,616,1
31,5590474,NARY,546,USA,1,31,7,0,3,1,0,210704,1,3,Titanium Card,536,0
32,5707727,PASKETT,619,UK,0,40,7,56874.5,1,0,1,235097,0,6,Debit Card,1130,1
33,5751170,LUO,515,Israel,1,45,0,73408.4,2,0,0,122848,0,4,Gold Card,1099,1
34,5660492,STACHNIK,535,USA,1,46,10,0,2,1,1,51615,0,2,Debit Card,1659,1
35,5733290,SANTEL,679,USA,0,33,8,0,2,1,1,213049,0,5,Elite Card,496,1
36,5794307,LINGELBACH,551,UK,0,45,13,89509.4,1,1,0,41734,1,2,Titanium Card,1578,0
37,5789692,TOUGH,492,USA,1,39,11,96840.2,1,0,1,171100,0,4,Debit Card,847,1
38,5731242,SEMLER,896,USA,0,26,4,51032.4,1,0,1,147680,0,2,Gold Card,1789,1
39,5717657,NIEBAUER,822,UK,1,43,15,0,1,1,1,61219,0,3,Gold Card,1699,1
40,5585810,KESWANI,539,Israel,1,39,6,46899.7,2,0,1,267111,0,6,Gold Card,753,1
41,5619540,SCHONBERGER,476,USA,0,44,3,0,1,1,0,105231,0,3,Titanium Card,980,1
42,5739375,MOLAN,428,UK,0,53,15,81681.5,1,0,0,271946,1,6,Debit Card,1490,0
43,5688533,ROMARO,615,UK,0,51,13,78279.6,1,1,1,141230,0,2,Elite Card,1419,1
44,5756087,VANNORTWICK,833,UK,1,43,0,87596.4,1,0,0,291548,1,3,Gold Card,1020,0
45,5685521,DAVILA,649,USA,0,51,1,103954.1,1,1,1,237507,0,1,Elite Card,1591,1
46,5756779,JOLLY,824,Israel,1,28,13,72947.4,2,1,1,189776,0,1,Debit Card,532,1
47,5603943,CAMMACK,818,Israel,1,29,4,74697.1,1,1,1,179562,1,2,Titanium Card,1401,0
48,5772258,CLATTENBURG,708,Israel,0,48,6,91895.9,1,1,1,176434,1,1,Debit Card,1314,0
49,5767297,GOSS,631,Israel,1,43,4,68927.6,1,0,1,136317,0,3,Titanium Card,1728,1
50,5773624,SWEINHART,850,Israel,1,31,13,69179.5,2,1,0,291148,0,1,Debit Card,482,1
51,5618421,FALZONE,739,Israel,0,47,6,77575.6,2,1,0,297088,0,4,Debit Card,1491,1
52,5768860,SCHOLTES,683,Israel,0,29,3,97367.3,2,0,0,129636,0,4,Debit Card,1196,1
53,5685502,GUSSERT,853,UK,0,37,12,0,2,0,0,175467,0,2,Gold Card,1767,1
54,5702600,SEIDE,670,Israel,0,46,10,83708,1,0,0,246061,1,4,Debit Card,616,0
55,5569835,BIRN,656,Israel,1,42,7,65663.8,1,1,0,60022,1,1,Titanium Card,404,0
56,5760976,ROHM,619,UK,0,45,5,83474.6,1,1,1,170115,0,5,Debit Card,1182,1
57,5630454,NESSELROTTE,754,UK,0,52,9,85242.9,1,1,0,130661,0,1,Elite Card,397,1
58,5648619,MCMENEMY,691,Israel,0,18,13,50592.1,1,0,0,68420,0,1,Elite Card,730,1
59,5625565,LAFFEY,603,USA,1,71,9,0,1,1,0,2464,1,5,Debit Card,987,0
60,5805451,OBAYA,672,UK,1,47,0,27123.9,1,1,1,70162,0,5,Elite Card,1717,1
61,5651782,DEGUILIO,740,Israel,0,34,4,91238,1,0,0,126764,0,5,Gold Card,1480,1
62,5773832,PETERSDORF,763,Israel,1,21,15,101552.6,2,0,0,189742,0,5,Titanium Card,1383,1
63,5703828,BLAZEY,533,USA,1,38,13,37389.8,2,0,0,268197,0,6,Elite Card,865,1
64,5751354,DURRANI,733,USA,1,55,0,52471.4,1,1,1,149097,0,5,Debit Card,1624,1
65,5592588,HOSIE,593,Israel,1,18,4,72777.6,1,1,1,139261,0,2,Elite Card,1587,1
66,5789523,ELORZA,835,Israel,1,32,12,113221,2,1,1,41637,1,5,Gold Card,681,1
67,5697555,SADLEY,587,Israel,1,27,11,67755.4,1,1,0,165647,1,4,Elite Card,843,1
68,5642212,ZAVERI,802,Israel,0,44,3,82120,2,1,1,295009,1,2,Elite Card,1228,1
69,5639349,EGGAN,742,Israel,0,41,2,100483.7,2,0,1,170485,1,1,Gold Card,1386,1
70,5755857,URBACH,753,UK,1,18,13,65582.2,1,1,0,27304,0,6,Debit Card,1772,1
71,5704424,MORESCO,796,Israel,1,61,1,89163.6,4,1,0,42560,1,4,Gold Card,1304,0
72,5622301,TERHUNE,887,UK,0,36,0,0,1,1,0,50930,0,3,Elite Card,465,1
73,5812747,NJOS,614,USA,1,40,4,109071.5,1,0,1,66305,0,2,Gold Card,1761,1
74,5779238,KUEHNEL,656,Israel,0,25,1,105187.2,2,1,1,87640,0,3,Debit Card,1778,1
75,5772013,SWEDA,582,UK,0,30,6,0,2,0,1,218343,0,3,Elite Card,1498,1
76,5782751,SCHOELZEL,779,UK,0,22,11,119145.5,2,1,0,33582,0,1,Elite Card,948,1
77,5614225,HOLTORF,646,UK,1,55,10,0,2,1,1,208742,0,5,Debit Card,396,1
78,5662881,TUSTISON,634,UK,1,40,6,0,1,1,1,222315,0,4,Gold Card,1768,1
79,5577018,LABBAN,782,USA,1,41,10,51502.1,1,0,1,291359,0,3,Debit Card,1047,1
80,5804868,BRICKEN,507,Israel,1,35,1,81459.8,2,1,0,147452,0,3,Debit Card,505,1
81,5707600,LAFERRIERE,725,UK,1,27,5,64430.4,2,0,0,257120,0,3,Titanium Card,1436,1
82,5664944,SULARZ,756,UK,1,35,11,0,1,1,0,204687,1,6,Debit Card,1650,0
83,5643472,GEISMAN,582,UK,0,36,15,0,2,0,0,39029,0,3,Titanium Card,458,1
84,5702323,HOUGHTLING,573,UK,0,43,5,60205.1,1,1,1,238852,0,3,Debit Card,919,1
85,5739454,FRYDRYCH,530,UK,1,40,5,0,2,1,0,2861,0,2,Debit Card,896,1
86,5806346,GERVAIS,610,USA,1,81,10,0,2,1,1,172013,0,6,Titanium Card,1171,1
87,5762549,BONG,833,USA,1,18,15,81121.2,1,1,0,192965,1,2,Debit Card,1533,0
88,5627618,ERTELL,732,UK,1,24,12,0,2,1,0,227804,0,2,Titanium Card,1452,1
89,5623263,MATH,698,UK,1,55,8,0,3,1,0,139877,1,4,Elite Card,846,0
90,5769273,MILITE,589,Israel,0,22,14,54415.8,2,1,1,235187,0,1,Titanium Card,1185,1
91,5758853,SPANEL,691,USA,0,51,4,0,3,1,1,261307,1,2,Titanium Card,1353,0
92,5733007,ROKKE,888,UK,1,51,7,79084.4,2,1,0,220698,0,2,Debit Card,1005,1
93,5811017,VANRHEENEN,525,UK,1,40,7,0,2,1,0,164421,0,3,Gold Card,674,1
94,5641916,MAGNES,722,UK,1,32,11,0,2,1,1,258435,0,2,Titanium Card,739,1
95,5678422,SAYEED,744,USA,1,39,11,0,2,0,1,128973,0,5,Titanium Card,1299,1
96,5700508,MIHOK,515,USA,0,36,4,117516,1,0,1,181916,0,1,Gold Card,415,1
97,5739555,DMELLO,813,USA,1,36,7,68551.6,1,0,1,96892,0,6,Titanium Card,878,1
98,5695189,ALLORD,806,Israel,0,19,7,64724.3,2,1,1,295914,0,2,Gold Card,1736,1
99,5604449,DUNKS,675,USA,0,18,4,0,2,0,0,149467,0,3,Debit Card,519,1
100,5634874,ROMO,473,UK,0,34,12,0,2,0,0,9801,0,1,Elite Card,807,1
101,5809904,MAAHS,657,UK,1,40,10,0,1,1,1,242772,0,3,Debit Card,1171,1
102,5743968,RECZEK,675,UK,0,52,6,0,2,0,0,250743,0,3,Titanium Card,936,1
103,5580222,SAURINI,746,UK,0,29,9,55116.1,1,1,0,62956,0,4,Titanium Card,421,1
104,5778024,GERBERDING,489,USA,0,26,3,0,2,1,0,90804,0,6,Debit Card,824,1
105,5806662,IDLEMAN,711,USA,1,70,5,0,1,1,1,266483,1,3,Gold Card,1646,0
106,5614271,FELDHAKE,643,USA,0,41,14,71382.2,2,1,1,46476,1,2,Gold Card,537,0
107,5600330,STUTZKE,619,Israel,1,37,0,59292.4,1,1,1,15081,0,5,Gold Card,1508,1
108,5813023,LICKO,842,Israel,0,33,7,66537.9,1,0,1,55464,0,4,Elite Card,1414,1
109,5604282,WAYNES,652,USA,1,37,0,100061.9,1,0,0,107794,0,3,Titanium Card,915,1
110,5746626,WOINAROWICZ,445,Israel,0,31,4,61889.3,1,1,0,149174,1,2,Titanium Card,590,0
111,5803799,MERCATANTE,677,Israel,0,31,7,60357.9,1,0,1,94624,0,5,Debit Card,624,1
112,5667229,MOESTA,577,Israel,1,30,2,72036.7,2,1,0,40846,0,6,Debit Card,961,1
113,5716078,WOLDEMICHAEL,578,UK,0,33,0,66825.6,1,0,0,130196,0,5,Elite Card,1275,1
114,5591573,MANDELL,653,USA,1,34,15,70793.7,1,0,1,34491,0,4,Debit Card,1347,1
115,5610583,PRIBLE,710,Israel,1,30,9,102983.7,2,0,1,151951,1,6,Elite Card,973,0
116,5677195,CHABAN,699,Israel,1,26,6,88234.2,2,1,1,111253,0,2,Gold Card,1324,1
117,5706833,WARMACK,745,Israel,1,33,13,111909.6,1,1,0,173457,0,5,Debit Card,951,1
118,5699383,TORLONE,536,UK,1,38,6,0,2,1,0,47649,0,3,Gold Card,1069,1
119,5663046,FEDDERSEN,516,Israel,1,31,1,71879.1,1,1,0,299588,1,2,Debit Card,831,0
120,5601834,BRICH,772,Israel,1,37,5,123449.2,2,1,0,181251,0,3,Elite Card,771,1
121,5684256,ALAMEIDA,865,UK,0,42,6,86288.9,2,0,0,57197,0,4,Debit Card,666,1
122,5580913,BERES,702,USA,0,33,0,80128.9,1,0,0,150196,0,1,Elite Card,918,1
123,5690757,SHACKLETTE,668,UK,1,35,12,0,2,1,0,211604,0,4,Titanium Card,1148,1
124,5761892,DEUCHAR,735,Israel,0,52,11,84256.3,1,1,1,297194,0,2,Gold Card,831,1
